CustomerID,SurveyYear,SurveyQuarter,SurveyDate,ResponseDate,RecommendationRate,CompanyRate,UserFrequency,QualityRate,PanelUsabilityRate,ReportCapability,SurveyID,SentimentScore,SentimentCategory,SentimentBucket
CRM-152900,2022,2,2022-04-01,2022-04-05,6.0,3.0,Once a Day,3.0,4.0,I am able to report everything easily,80,0.34,Mixed positive,0 to 0.49
CRM-152900,2022,3,2022-07-01,2022-08-25,8.0,4.0,Once a Day,4.0,4.0,I am able to report everything easily,81,0.34,Mixed positive,0 to 0.49
CRM-152900,2022,2,2022-04-01,2022-04-25,10.0,5.0,Once a Week,5.0,5.0,I don't use it often,82,0.0,Neutral,0 to 0.49
CRM-152900,2022,3,2022-07-01,2022-09-06,8.0,5.0,Once a Week,5.0,5.0,I don't use it often,83,0.0,Neutral,0 to 0.49
CRM-1490450,2022,3,2022-07-01,2022-07-05,6.0,4.0,Once a Week,3.0,2.0,I tried but could not find everything I need,84,0.0,Neutral,0 to 0.49
CRM-1490450,2022,2,2022-04-01,2022-06-20,9.0,4.0,Once a Week,4.0,3.0,I tried but could not find everything I need,85,0.0,Neutral,0 to 0.49
CRM-1490450,2022,3,2022-07-01,2022-09-05,9.0,4.0,Once a Week,4.0,4.0,I need someone from Insider team to provide me the report from the panel,86,0.0,Neutral,0 to 0.49
CRM-1492900,2022,1,2022-01-01,2022-03-30,10.0,5.0,Once a Month,5.0,4.0,I need someone from Insider team to provide me the report from the panel,87,0.0,Neutral,0 to 0.49
CRM-1492900,2022,2,2022-04-01,2022-06-17,9.0,4.0,Once a Day,4.0,3.0,"I can pull all the numbers, but don't understand them",88,0.0,Neutral,0 to 0.49
CRM-1436600,2022,2,2022-04-01,2022-06-10,8.0,5.0,Once a Week,5.0,5.0,I need someone from Insider team to provide me the report from the panel,89,0.0,Neutral,0 to 0.49
CRM-1436600,2022,3,2022-07-01,2022-09-02,9.0,5.0,Once a Week,5.0,5.0,I need someone from Insider team to provide me the report from the panel,90,0.0,Neutral,0 to 0.49
CRM-183300,2022,3,2022-07-01,2022-09-19,5.0,3.0,Once a Week,3.0,4.0,I need someone from Insider team to provide me the report from the panel,91,0.0,Neutral,0 to 0.49
CRM-183300,2022,2,2022-04-01,2022-05-21,8.0,4.0,Once a Day,4.0,4.0,I need someone from Insider team to provide me the report from the panel,92,0.0,Neutral,0 to 0.49
CRM-1478900,2022,3,2022-07-01,2022-09-30,8.0,4.0,Once a Day,3.0,4.0,"I can pull all the numbers, but don't understand them",93,0.0,Neutral,0 to 0.49
CRM-1478900,2022,1,2022-01-01,2022-02-01,9.0,5.0,Once a Day,5.0,5.0,I don't use it often,94,0.0,Neutral,0 to 0.49
CRM-1499500,2022,3,2022-07-01,2022-09-05,9.0,5.0,Once a Day,5.0,5.0,I am able to report everything easily,95,0.34,Mixed positive,0 to 0.49
CRM-1497450,2022,3,2022-07-01,2022-09-26,10.0,5.0,Once a Week,5.0,5.0,I need someone from Insider team to provide me the report from the panel,96,0.0,Neutral,0 to 0.49
CRM-335250,2022,1,2022-01-01,2022-02-01,10.0,5.0,Once a Week,5.0,4.0,I am able to report everything easily,97,0.34,Mixed positive,0 to 0.49
CRM-335250,2022,1,2022-01-01,2022-03-21,10.0,5.0,Once a Week,5.0,4.0,I am able to report everything easily,98,0.34,Mixed positive,0 to 0.49
CRM-463500,2022,2,2022-04-01,2022-05-26,10.0,4.0,Once a Week,5.0,4.0,I am able to report everything easily,99,0.34,Mixed positive,0 to 0.49
CRM-690000,2022,1,2022-01-01,2022-02-01,8.0,3.0,Once a Month,4.0,2.0,I am able to report everything easily,100,0.34,Mixed positive,0 to 0.49
CRM-690000,2022,2,2022-04-01,2022-06-17,9.0,5.0,Once a Month,4.0,3.0,I am able to report everything easily,101,0.34,Mixed positive,0 to 0.49
CRM-690000,2022,3,2022-07-01,2022-09-06,8.0,4.0,Once a Month,4.0,3.0,I am able to report everything easily,102,0.34,Mixed positive,0 to 0.49
CRM-1489700,2022,1,2022-01-01,2022-03-21,9.0,4.0,Once a Day,4.0,3.0,I need someone from Insider team to provide me the report from the panel,103,0.0,Neutral,0 to 0.49
CRM-1456200,2022,1,2022-01-01,2022-03-01,6.0,3.0,Once a Month,3.0,0.0,I don't use it often,104,0.0,Neutral,0 to 0.49
CRM-1456200,2022,1,2022-01-01,2022-03-21,6.0,3.0,Once a Month,3.0,0.0,I don't use it often,105,0.0,Neutral,0 to 0.49
CRM-1456200,2022,2,2022-04-01,2022-06-22,6.0,4.0,Once a Day,4.0,4.0,I don't use it often,106,0.0,Neutral,0 to 0.49
CRM-1456200,2022,3,2022-07-01,2022-08-05,8.0,4.0,Once a Day,4.0,4.0,I am able to report everything easily,107,0.34,Mixed positive,0 to 0.49
CRM-1485400,2022,2,2022-04-01,2022-04-25,9.0,4.0,Once a Month,4.0,4.0,I tried but could not find everything I need,108,0.0,Neutral,0 to 0.49
CRM-159850,2022,2,2022-04-01,2022-05-31,7.0,4.0,Once a Day,4.0,3.0,"I can pull all the numbers, but don't understand them",109,0.0,Neutral,0 to 0.49
CRM-159850,2022,3,2022-07-01,2022-09-16,10.0,5.0,Once a Day,5.0,5.0,I need someone from Insider team to provide me the report from the panel,110,0.0,Neutral,0 to 0.49
CRM-159850,2022,2,2022-04-01,2022-06-24,8.0,4.0,Once a Week,4.0,4.0,I tried but could not find everything I need,111,0.0,Neutral,0 to 0.49
CRM-1491900,2022,3,2022-07-01,2022-09-07,8.0,5.0,Once a Week,5.0,5.0,I am able to report everything easily,112,0.34,Mixed positive,0 to 0.49
CRM-159150,2022,2,2022-04-01,2022-04-16,7.0,4.0,Once a Day,4.0,4.0,I need someone from Insider team to provide me the report from the panel,113,0.0,Neutral,0 to 0.49
CRM-159150,2022,3,2022-07-01,2022-09-11,8.0,4.0,Once a Day,4.0,3.0,I need someone from Insider team to provide me the report from the panel,114,0.0,Neutral,0 to 0.49
CRM-159150,2022,2,2022-04-01,2022-04-01,9.0,5.0,Once a Day,5.0,4.0,I tried but could not find everything I need,115,0.0,Neutral,0 to 0.49
CRM-159150,2022,3,2022-07-01,2022-09-27,9.0,5.0,Once a Day,5.0,5.0,I tried but could not find everything I need,116,0.0,Neutral,0 to 0.49
CRM-1489250,2022,2,2022-04-01,2022-06-28,9.0,5.0,Once a Day,5.0,5.0,I am able to report everything easily,117,0.34,Mixed positive,0 to 0.49
CRM-1489250,2022,3,2022-07-01,2022-08-30,8.0,5.0,Once a Week,5.0,5.0,I am able to report everything easily,118,0.34,Mixed positive,0 to 0.49
CRM-1489250,2022,1,2022-01-01,2022-03-31,8.0,4.0,Once a Day,4.0,4.0,I need someone from Insider team to provide me the report from the panel,119,0.0,Neutral,0 to 0.49
CRM-1501100,2022,1,2022-01-01,2022-02-01,9.0,5.0,Once a Week,5.0,0.0,"I can pull all the numbers, but don't understand them",120,0.0,Neutral,0 to 0.49
CRM-1501100,2022,3,2022-07-01,2022-09-29,8.0,4.0,Once a Week,4.0,5.0,"I can pull all the numbers, but don't understand them",121,0.0,Neutral,0 to 0.49
CRM-1481050,2022,1,2022-01-01,2022-03-01,6.0,3.0,Once a Day,3.0,3.0,I tried but could not find everything I need,122,0.0,Neutral,0 to 0.49
CRM-1481050,2022,1,2022-01-01,2022-03-21,6.0,3.0,Once a Day,3.0,3.0,I tried but could not find everything I need,123,0.0,Neutral,0 to 0.49
CRM-845700,2022,1,2022-01-01,2022-03-29,9.0,4.0,Once a Day,4.0,4.0,I am able to report everything easily,124,0.34,Mixed positive,0 to 0.49
CRM-845700,2022,2,2022-04-01,2022-04-18,8.0,5.0,Once a Day,5.0,5.0,I am able to report everything easily,125,0.34,Mixed positive,0 to 0.49
CRM-845700,2022,3,2022-07-01,2022-09-01,8.0,5.0,Once a Day,5.0,5.0,I am able to report everything easily,126,0.34,Mixed positive,0 to 0.49
CRM-845700,2022,3,2022-07-01,2022-09-05,8.0,5.0,Once a Day,5.0,5.0,I am able to report everything easily,127,0.34,Mixed positive,0 to 0.49
CRM-845700,2022,1,2022-01-01,2022-03-28,10.0,5.0,Once a Day,0.0,4.0,I am able to report everything easily,128,0.34,Mixed positive,0 to 0.49
CRM-845700,2022,2,2022-04-01,2022-06-09,8.0,4.0,Once a Week,5.0,5.0,I am able to report everything easily,129,0.34,Mixed positive,0 to 0.49
CRM-845700,2022,3,2022-07-01,2022-07-05,8.0,5.0,Once a Week,5.0,5.0,I am able to report everything easily,130,0.34,Mixed positive,0 to 0.49
CRM-845700,2022,1,2022-01-01,2022-03-28,8.0,5.0,Once a Week,4.0,2.0,I need someone from Insider team to provide me the report from the panel,131,0.0,Neutral,0 to 0.49
CRM-1481750,2022,2,2022-04-01,2022-06-23,8.0,4.0,Once a Week,4.0,4.0,I need someone from Insider team to provide me the report from the panel,132,0.0,Neutral,0 to 0.49
CRM-1481750,2022,3,2022-07-01,2022-09-22,9.0,5.0,Once a Month,4.0,4.0,I don't use it often,133,0.0,Neutral,0 to 0.49
CRM-1481750,2022,3,2022-07-01,2022-09-30,9.0,5.0,Once a Week,4.0,4.0,I am able to report everything easily,134,0.34,Mixed positive,0 to 0.49
CRM-706750,2022,3,2022-07-01,2022-09-12,7.0,4.0,Once a Day,4.0,5.0,I am able to report everything easily,135,0.34,Mixed positive,0 to 0.49
CRM-706750,2022,3,2022-07-01,2022-09-30,8.0,4.0,Once a Week,4.0,5.0,I am able to report everything easily,136,0.34,Mixed positive,0 to 0.49
CRM-1442100,2022,1,2022-01-01,2022-03-01,9.0,5.0,Once a Week,5.0,4.0,I am able to report everything easily,137,0.34,Mixed positive,0 to 0.49
CRM-1442100,2022,2,2022-04-01,2022-06-14,9.0,5.0,Once a Day,4.0,4.0,I am able to report everything easily,138,0.34,Mixed positive,0 to 0.49
CRM-783250,2022,1,2022-01-01,2022-02-01,9.0,4.0,Once a Week,4.0,0.0,"I can pull all the numbers, but don't understand them",139,0.0,Neutral,0 to 0.49
CRM-783250,2022,1,2022-01-01,2022-02-01,9.0,5.0,Once a Day,5.0,4.0,I don't use it often,140,0.0,Neutral,0 to 0.49
CRM-1478200,2022,2,2022-04-01,2022-04-15,8.0,5.0,Once a Day,4.0,4.0,I don't use it often,141,0.0,Neutral,0 to 0.49
CRM-1478200,2022,3,2022-07-01,2022-09-02,10.0,5.0,Once a Day,5.0,4.0,"I can pull all the numbers, but don't understand them",142,0.0,Neutral,0 to 0.49
CRM-372100,2022,1,2022-01-01,2022-03-30,7.0,3.0,Once a Week,4.0,5.0,I need someone from Insider team to provide me the report from the panel,143,0.0,Neutral,0 to 0.49
CRM-372100,2022,2,2022-04-01,2022-06-28,10.0,5.0,Once a Week,4.0,5.0,I tried but could not find everything I need,144,0.0,Neutral,0 to 0.49
CRM-372100,2022,1,2022-01-01,2022-03-30,10.0,5.0,Once a Month,5.0,5.0,I am able to report everything easily,145,0.34,Mixed positive,0 to 0.49
CRM-372100,2022,3,2022-07-01,2022-07-01,10.0,5.0,Once a Month,5.0,5.0,"I can pull all the numbers, but don't understand them",146,0.0,Neutral,0 to 0.49
CRM-1454050,2022,3,2022-07-01,2022-09-07,10.0,5.0,Once a Month,5.0,3.0,I need someone from Insider team to provide me the report from the panel,147,0.0,Neutral,0 to 0.49
CRM-1487700,2022,3,2022-07-01,2022-09-20,3.0,2.0,Once a Day,2.0,4.0,I am able to report everything easily,148,0.34,Mixed positive,0 to 0.49
CRM-401300,2022,1,2022-01-01,2022-03-30,10.0,5.0,Once a Month,5.0,5.0,I need someone from Insider team to provide me the report from the panel,149,0.0,Neutral,0 to 0.49
CRM-552650,2022,2,2022-04-01,2022-04-25,9.0,4.0,Once a Month,4.0,4.0,I tried but could not find everything I need,150,0.0,Neutral,0 to 0.49
CRM-552650,2022,2,2022-04-01,2022-05-29,7.0,4.0,Once a Day,4.0,4.0,I tried but could not find everything I need,151,0.0,Neutral,0 to 0.49
CRM-552650,2022,3,2022-07-01,2022-09-22,10.0,5.0,Once a Day,5.0,5.0,I need someone from Insider team to provide me the report from the panel,152,0.0,Neutral,0 to 0.49
CRM-552600,2022,2,2022-04-01,2022-05-24,6.0,3.0,Once a Day,3.0,3.0,I need someone from Insider team to provide me the report from the panel,153,0.0,Neutral,0 to 0.49
CRM-387200,2022,3,2022-07-01,2022-09-29,10.0,5.0,Once a Week,5.0,5.0,I need someone from Insider team to provide me the report from the panel,154,0.0,Neutral,0 to 0.49
CRM-387200,2022,1,2022-01-01,2022-03-29,9.0,5.0,Once a Day,5.0,4.0,I need someone from Insider team to provide me the report from the panel,155,0.0,Neutral,0 to 0.49
CRM-796350,2022,2,2022-04-01,2022-04-25,9.0,4.0,Once a Month,4.0,4.0,I tried but could not find everything I need,156,0.0,Neutral,0 to 0.49
CRM-1437150,2022,3,2022-07-01,2022-07-04,8.0,5.0,Once a Week,5.0,5.0,I am able to report everything easily,157,0.34,Mixed positive,0 to 0.49
CRM-505000,2022,1,2022-01-01,2022-03-21,8.0,4.0,Once a Month,4.0,4.0,I need someone from Insider team to provide me the report from the panel,158,0.0,Neutral,0 to 0.49
CRM-505000,2022,2,2022-04-01,2022-05-17,8.0,4.0,Once a Month,4.0,4.0,I tried but could not find everything I need,159,0.0,Neutral,0 to 0.49
CRM-505000,2022,2,2022-04-01,2022-05-17,8.0,3.0,Once a Week,3.0,3.0,I don't use it often,160,0.0,Neutral,0 to 0.49
CRM-277800,2022,2,2022-04-01,2022-06-23,10.0,5.0,Once a Day,5.0,5.0,I need someone from Insider team to provide me the report from the panel,161,0.0,Neutral,0 to 0.49
CRM-277800,2022,3,2022-07-01,2022-09-06,10.0,5.0,Once a Day,5.0,5.0,I need someone from Insider team to provide me the report from the panel,162,0.0,Neutral,0 to 0.49
CRM-277800,2022,1,2022-01-01,2022-03-31,10.0,5.0,Once a Week,5.0,5.0,I need someone from Insider team to provide me the report from the panel,163,0.0,Neutral,0 to 0.49
CRM-166050,2022,1,2022-01-01,2022-03-01,9.0,4.0,Once a Week,4.0,4.0,I am able to report everything easily,164,0.34,Mixed positive,0 to 0.49
CRM-166050,2022,3,2022-07-01,2022-09-30,8.0,4.0,Once a Week,4.0,3.0,I am able to report everything easily,165,0.34,Mixed positive,0 to 0.49
CRM-166050,2022,3,2022-07-01,2022-09-12,10.0,5.0,Once a Day,5.0,3.0,I tried but could not find everything I need,166,0.0,Neutral,0 to 0.49
CRM-166050,2022,3,2022-07-01,2022-09-05,10.0,5.0,Once a Week,4.0,5.0,I need someone from Insider team to provide me the report from the panel,167,0.0,Neutral,0 to 0.49
CRM-166050,2022,3,2022-07-01,2022-09-14,10.0,5.0,Once a Day,5.0,5.0,I need someone from Insider team to provide me the report from the panel,168,0.0,Neutral,0 to 0.49
